floor,url,price,title,community,location
低层/6层,http://sh.lianjia.com/zufang/shz3354705.html,3000,毗邻地铁，上门实勘，小户型，看房末班车,东沟四村,金桥
中层/11层,http://sh.lianjia.com/zufang/shz2851576.html,3500,上门实勘，享受好房，一室小户型，抢手火热,环龙公寓,北蔡
低层/6层,http://sh.lianjia.com/zufang/shz3407791.html,2000,业主降价，热门好房，交通便利，上门实拍,玉兰苑（川沙）,川沙
中层/5层,http://sh.lianjia.com/zufang/shz3452689.html,4000,出行方便，如您所见，刚刚降价，上门实勘,上钢一村,世博
高层/27层,http://sh.lianjia.com/zufang/shz3458271.html,3800,高区阳光房，上门实拍，链家房源，地铁沿线,地杰国际城,御桥
高层/31层,http://sh.lianjia.com/zufang/shz3458889.html,4000,光线非常好，出行方便，降价出租，一链倾城,东方康达家苑（二期）,三林
高层/6层,http://sh.lianjia.com/zufang/shz3446465.html,3500,竹园新村，生活很便利，来电即看，刚刚降价,竹园新村（浦东）,源深
高层/6层,http://sh.lianjia.com/zufang/shz2223481.html,3800,潍坊五村，降价房源，1室1厅，高清实拍,潍坊五村,潍坊
低层/6层,http://sh.lianjia.com/zufang/shz3406980.html,3900,联丰新苑，上门实勘，交通方便，降价出租,联丰新苑,三林
低层/18层,http://sh.lianjia.com/zufang/shz3412560.html,2500,真实在租，业主降价，1室0厅1卫，毗邻地铁,大华锦绣华城（四街区）,北蔡
高层/6层,http://sh.lianjia.com/zufang/shz3425997.html,3500,港机新村，视野开阔，随到随看，1室0厅1卫,港机新村,南码头
高层/7层,http://sh.lianjia.com/zufang/shz3282801.html,3600,温馨一室，紧邻地铁，看房方便，高区景观房,金杨四街坊,金杨
低层/6层,http://sh.lianjia.com/zufang/shz3336238.html,4000,新里城和合苑，稀缺南北通，上下楼方便，热门带看,新里城和合苑,三林
高层/6层,http://sh.lianjia.com/zufang/shz3419133.html,3800,毗邻地铁，火爆热门，高清实拍，链家好房,上缝小区,龙华
高层/6层,http://sh.lianjia.com/zufang/shz3383027.html,3000,凌云新村，生活很便利，随到随看，一室小户型,凌云新村,华东理工
高层/7层,http://sh.lianjia.com/zufang/shz3316718.html,4000,火爆热门，上门实勘，南北通，1室1厅,田林十二村,田林
中层/5层,http://sh.lianjia.com/zufang/shz3369388.html,3800,上门实勘，看房有钥匙，小户型，享受好房,日晖六村,斜土路
中层/6层,http://sh.lianjia.com/zufang/shz3296346.html,2900,看房有钥匙，降价房源，1室0厅1卫，上门实勘,汇成一村,上海南站
中层/6层,http://sh.lianjia.com/zufang/shz3357931.html,3500,京浦小区，放心好房，上门实勘，热门房源,京浦小区,御桥
