,floor,url,price,title,community,location,community_c,community_loc,duration
638,低层/4层,http://sh.lianjia.com/zufang/shz3447021.html,3800,上方花园，新鲜好房，地铁沿线，1室1厅1卫,上方花园,衡山路,上方花园,"121.451190,31.212590",569.0
155,高层/3层,http://sh.lianjia.com/zufang/shz3413139.html,4000,采光无敌好，1室0厅1卫，一链倾城，有钥匙,上方花园,衡山路,上方花园,"121.451190,31.212590",569.0
592,高层/3层,http://sh.lianjia.com/zufang/shz3423023.html,2000,上方花园，有爱有家，远离雾霾带，一室小户型,上方花园,衡山路,上方花园,"121.451190,31.212590",569.0
595,低层/4层,http://sh.lianjia.com/zufang/shz3429361.html,3800,上方花园，真实在租，上下楼方便，温馨一室,上方花园,衡山路,上方花园,"121.451190,31.212590",569.0
557,中层/3层,http://sh.lianjia.com/zufang/shz3386110.html,3500,紧邻地铁，好楼层，上门实拍，温馨一室,华亭路31弄,衡山路,华亭路31弄,"121.450167,31.215623",696.0
154,中层/2层,http://sh.lianjia.com/zufang/shz3410979.html,3500,地铁房，新鲜好房，1室0厅1卫，上门实拍,高安路18弄,衡山路,高安路18弄,"121.444834,31.204516",769.0
637,高层/4层,http://sh.lianjia.com/zufang/shz3420326.html,3800,享受好房，采光好，地铁房，温馨一室,淮海中路1390弄,衡山路,淮海中路1390弄,"121.448472,31.211462",845.0
951,中层/3层,http://sh.lianjia.com/zufang/shz3343876.html,2500,长乐路611弄，景观房，有爱有家，小户型,长乐路611弄,衡山路,长乐路611弄,"121.451200,31.216923",907.0
621,高层/5层,http://sh.lianjia.com/zufang/shz3364452.html,3000,日晖一村，温馨之家，视野开阔，错过不再有,日晖一村,斜土路,日晖一村,"121.464687,31.194806",948.0
950,低层/4层,http://sh.lianjia.com/zufang/shz3328612.html,3500,复兴中路1232弄，低区出入方便，生活很便利，享受好房,复兴中路1232弄,衡山路,复兴中路1232弄,"121.458832,31.213415",1013.0
311,高层/3层,http://sh.lianjia.com/zufang/shz3446135.html,4000,茂龄别墅，有爱有家，新鲜上架，上门实拍,茂龄别墅（新里）,衡山路,茂龄别墅,"121.447427,31.200658",1024.0
34,中层/5层,http://sh.lianjia.com/zufang/shz3418315.html,3400,空气清新，出行方便，随到随看，上门实拍,日晖二村,斜土路,日晖二村,"121.465885,31.193781",1032.0
464,高层/5层,http://sh.lianjia.com/zufang/shz3433169.html,3800,远离雾霾带，上门实拍，1室1厅1卫，新出好房,日晖二村,斜土路,日晖二村,"121.465885,31.193781",1032.0
152,低层/6层,http://sh.lianjia.com/zufang/shz3454723.html,4000,日晖二村，高清实拍，地铁房，低楼层,日晖二村,斜土路,日晖二村,"121.465885,31.193781",1032.0
468,中层/3层,http://sh.lianjia.com/zufang/shz3436626.html,4000,吴兴路51弄，上门实拍，房型正气，新出房源,吴兴路51弄,衡山路,吴兴路51弄,"121.442740,31.205240",1086.0
793,高层/5层,http://sh.lianjia.com/zufang/shz3428898.html,3500,江南一村，地铁沿线，新鲜好房，如您所见,江南一村,斜土路,江南一村,"121.462917,31.192045",1137.0
620,高层/6层,http://sh.lianjia.com/zufang/shz3362039.html,3300,小木桥路13弄，高区阳光房，上门实勘，享受好房,小木桥路13弄,斜土路,小木桥路13弄,"121.457974,31.199127",1207.0
558,低层/7层,http://sh.lianjia.com/zufang/shz3390048.html,3500,低区出入方便，链家房源，紧邻地铁，上门实拍,东安花苑,龙华,东安花苑,"121.455561,31.185769",1212.0
864,中层/7层,http://sh.lianjia.com/zufang/shz3456821.html,2200,龙漕路66弄，地铁房，错过不再有，新鲜挂牌,龙漕路66弄,龙华,龙漕路66弄,"121.437780,31.168346",1257.0
799,中层/23层,http://sh.lianjia.com/zufang/shz3438110.html,2400,生活很便利，1室1厅1卫，光线充足，链家好房,银星名庭,万体馆,银星名庭,"121.437341,31.169134",1270.0
